name,details,rating,good_feedback,bad_feedback,review_count,salaries,interviews,jobs,benefits,photos
Basicfirst Learning,EdTech | 501-1k Employees | 6 years old | Bengaluru/Bangalore +25 more,3.5,Job Security,,192,333,6,8,75,75
Rooman Technologies,Education & Training | 201-500 Employees | 25 years old | Bangalore/Bengaluru +39 more,3.0,"Promotions / Appraisal, Job Security, Salary & Benefits",,191,822,6,16,19,19
SMS Group,Industrial Machinery | 1k-5k Employees | 153 years old | Düsseldorf +16 more,4.4,"Work Life Balance, Job Security, Company Culture",,200,1.1k,14,--,22,22
Intersoft Data Labs,IT Services & Consulting | 501-1k Employees | 21 years old | Columbia +7 more,3.7,"Work Life Balance, Salary & Benefits","Job Security, Skill Development / Learning, Promotions / Appraisal",197,1.6k,17,3,10,10
National Institute of Technology,Education & Training | 51-200 Employees | Public | 17 years old | New Delhi +28 more,4.2,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,197,1.3k,11,--,15,15
Lumino Industries,Electrical Equipment | 51-200 Employees | Public | 35 years old | Kolkata +27 more,3.6,"Promotions / Appraisal, Company Culture, Work Satisfaction",,197,737,11,--,11,11
Netaxis IT Solutions,IT Services & Consulting | 1-10 Employees | 24 years old | Chennai +3 more,4.1,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",,197,271,9,2,118,118
Aujas Cybersecurity – An NSEIT Company,IT Services & Consulting | 501-1k Employees | 16 years old | Bangalore/Bengaluru +9 more,3.8,"Job Security, Skill Development / Learning, Salary & Benefits",,195,1.9k,16,96,10,10
RNF Technologies,IT Services & Consulting | 201-500 Employees | 15 years old | Noida +4 more,4.0,"Work Life Balance, Company Culture, Job Security",,194,1.1k,14,2,69,69
Wirtgen India,Industrial Machinery | 501-1k Employees | 63 years old | Pune +24 more,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,194,964,11,--,28,28
Ninestars Information Technologies,IT Services & Consulting | 501-1k Employees | 25 years old | Bangalore +12 more,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,194,1.3k,10,1,13,13
Model N,Software Product | 501-1k Employees | Public | 25 years old | San Mateo +1 more,4.7,"Company Culture, Work Life Balance, Job Security",,194,820,7,20,22,22
Sanoh,Auto Components | 201-500 Employees | 85 years old | Tokyo +13 more,4.2,"Job Security, Work Life Balance, Company Culture",,194,883,7,--,32,32
Chandan Steel,Metals & Mining | 11-50 Employees | Public | 55 years old | Mumbai +15 more,3.6,"Salary & Benefits, Promotions / Appraisal, Company Culture",,192,1k,9,8,11,11
Synergy Property Development Services,Real Estate | 201-500 Employees | 21 years old | Bangalore/Bengaluru +22 more,3.8,,,192,775,5,--,32,32
Balajee Group,Engineering & Construction | 51-200 Employees | 21 years old | Mumbai +34 more,3.7,,,192,838,10,3,16,16
NGA HR,BPO | 1k-5k Employees | 55 years old | Hemel Hempstead +21 more,4.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,191,3.2k,10,--,27,27
Hiranandani Financial Services,NBFC | 201-500 Employees | 7 years old | Mumbai +52 more,4.2,"Company Culture, Skill Development / Learning, Work Life Balance",,197,535,15,--,15,15
RM Education Solutions,Education & Training | 1k-5k Employees | 21 years old | Thiruvananthapuram +8 more,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,196,1.7k,12,17,29,29
Muthoot Housing Finance Company,NBFC | 501-1k Employees | 14 years old | Mumbai +73 more,4.1,"Work Life Balance, Skill Development / Learning, Company Culture",,196,903,13,1,12,12
